SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,YF_SYMBOL
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-OCT-2021,5,1,INE404A01024,5,ABSLAMC.NS
ACC,ACC Limited,EQ,20-NOV-1996,10,1,INE012A01025,10,ACC.NS
ACCELYA,Accelya Solutions India Limited,EQ,01-DEC-1999,10,1,INE793A01012,10,ACCELYA.NS
ACCURACY,Accuracy Shipping Limited,EQ,11-DEC-2020,1,1,INE648Z01023,1,ACCURACY.NS
ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,2,1,INE731H01025,2,ACE.NS
ACEINTEG,Ace Integrated Solutions Limited,EQ,04-NOV-2022,10,1,INE543V01017,10,ACEINTEG.NS
ACI,Archean Chemical Industries Limited,EQ,21-NOV-2022,2,1,INE128X01021,2,ACI.NS
ACL,Andhra Cements Limited,EQ,10-MAY-2023,10,1,INE666E01020,10,ACL.NS
ACMESOLAR,Acme Solar Holdings Limited,EQ,13-NOV-2024,2,1,INE622W01025,2,ACMESOLAR.NS
ACUTAAS,Acutaas Chemicals Limited,EQ,14-SEP-2021,5,1,INE00FF01025,5,ACUTAAS.NS
ADANIENSOL,Adani Energy Solutions Limited,EQ,31-JUL-2015,10,1,INE931S01010,10,ADANIENSOL.NS
ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,1,1,INE423A01024,1,ADANIENT.NS
ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018,10,1,INE364U01010,10,ADANIGREEN.NS
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2,1,INE742F01042,2,ADANIPORTS.NS
ADANIPOWER,Adani Power Limited,EQ,20-AUG-2009,2,1,INE814H01029,2,ADANIPOWER.NS
ADFFOODS,ADF Foods Limited,EQ,15-SEP-2010,2,1,INE982B01027,2,ADFFOODS.NS
ADL,Archidply Decor Limited,EQ,01-OCT-2020,10,1,INE0CHO01012,10,ADL.NS
ADOR,Ador Welding Limited,EQ,10-MAY-1995,10,1,INE045A01017,10,ADOR.NS
ADROITINFO,Adroit Infotech Limited,EQ,13-AUG-1997,10,1,INE737B01033,10,ADROITINFO.NS
ADSL,Allied Digital Services Limited,EQ,25-JUL-2007,5,1,INE102I01027,5,ADSL.NS
ADVANCE,Advance Agrolife Limited,EQ,08-OCT-2025,10,1,INE1B0W01010,10,ADVANCE.NS
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-JUN-2007,2,1,INE199C01026,2,ADVANIHOTR.NS
ADVENTHTL,Advent Hotels International Limited,EQ,13-NOV-2025,10,1,INE28GN01010,10,ADVENTHTL.NS
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-AUG-2016,2,1,INE837H01020,2,ADVENZYMES.NS
AEGISLOG,Aegis Logistics Limited,EQ,03-APR-1996,1,1,INE208C01025,1,AEGISLOG.NS
AEGISVOPAK,Aegis Vopak Terminals Limited,EQ,02-JUN-2025,10,1,INE0INX01018,10,AEGISVOPAK.NS
AEQUS,Aequs Limited,EQ,10-DEC-2025,10,1,INE947N01017,10,AEQUS.NS
AEROENTER,Aeroflex Enterprises Limited,EQ,21-NOV-2022,2,1,INE065D01027,2,AEROENTER.NS
AEROFLEX,Aeroflex Industries Limited,EQ,31-AUG-2023,2,1,INE024001021,2,AEROFLEX.NS
AERONEU,Aeroflex Neu Limited,EQ,12-JAN-2023,10,1,INE035801013,10,AERONEU.NS
AETHER,Aether Industries Limited,EQ,03-JUN-2022,10,1,INE0BWX01014,10,AETHER.NS
AFCONS,Afcons Infrastructure Limited,EQ,04-NOV-2024,10,1,INE101I01011,10,AFCONS.NS
AFFLE,Affle 3i Limited,EQ,08-AUG-2019,2,1,INE00WC01027,2,AFFLE.NS
AFFORDABLE,Affordable Robotic & Automation Limited,EQ,23-OCT-2024,10,1,INE692Z01013,10,AFFORDABLE.NS
AFIL,Akme Fintrade (India) Limited,EQ,26-JUN-2024,1,1,INE916Y01027,1,AFIL.NS
AFSL,Abans Financial Services Limited,EQ,23-DEC-2022,2,1,INE00ZE01026,2,AFSL.NS
AGARIND,Agarwal Industrial Corporation Limited,EQ,26-MAY-2014,10,1,INE204E01012,10,AGARIND.NS
AGARWALEYE,Dr. Agarwal's Health Care Limited,EQ,04-FEB-2025,1,1,INE943P01029,1,AGARWALEYE.NS
AGI,AGI Greenpac Limited,EQ,31-MAY-2000,2,1,INE415A01038,2,AGI.NS
AGIIL,Agi Infra Limited,EQ,15-JUL-2024,1,1,INE976R01033,1,AGIIL.NS
AGRITECH,Agri-Tech (India) Limited,EQ,28-JAN-2014,10,1,INE449G01018,10,AGRITECH.NS
AGROPHOS,Agro Phos India Limited,EQ,08-MAR-2019,10,1,INE740V01019,10,AGROPHOS.NS
AGSTRA,AGS Transact Technologies Limited,BZ,31-JAN-2022,10,1,INE583L01014,10,AGSTRA.NS
AHCL,Anlon Healthcare Limited,BE,03-SEP-2025,10,1,INE0Y8W01017,10,AHCL.NS
AHLADA,Ahlada Engineers Limited,EQ,28-JAN-2021,10,1,INE00PV01013,10,AHLADA.NS
AHLEAST,Asian Hotels (East) Limited,EQ,11-AUG-2010,10,1,INE926K01017,10,AHLEAST.NS
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-DEC-2009,2,1,INE758C01029,2,AHLUCONT.NS
AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,2,1,INE212H01026,2,AIAENG.NS
AIIL,Authum Investment & Infrastructure Limited,EQ,23-APR-2024,1,1,INE206F01022,1,AIIL.NS
AIRAN,Airan Limited,EQ,03-MAY-2019,2,1,INE645W01026,2,AIRAN.NS
AIROLAM,Airo Lam limited,EQ,13-OCT-2021,10,1,INE801L01010,10,AIROLAM.NS
AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,2,1,INE031B01049,2,AJANTPHARM.NS
AJAXENGG,Ajax Engineering Limited,EQ,17-FEB-2025,1,1,INE274Y01021,1,AJAXENGG.NS
AJMERA,Ajmera Realty & Infra India Limited,EQ,16-JUN-2009,10,1,INE298G01027,10,AJMERA.NS
AJOONI,Ajooni Biotech Limited,EQ,07-MAY-2021,2,1,INE820Y01021,2,AJOONI.NS
AKASH,Akash Infra-Projects Limited,EQ,11-OCT-2019,10,1,INE737W01013,10,AKASH.NS
AKG,Akg Exim Limited,EQ,16-FEB-2021,10,1,INE00Y801016,10,AKG.NS
AKI,AKI India Limited,EQ,06-APR-2023,2,1,INE642Z01026,2,AKI.NS
AKSHAR,Akshar Spintex Limited,EQ,23-MAY-2022,1,1,INE256Z01025,1,AKSHAR.NS
AKSHARCHEM,AksharChem India Limited,EQ,28-MAR-2017,10,1,INE542B01011,10,AKSHARCHEM.NS
AKSHOPTFBR,Aksh Optifibre Limited,EQ,18-AUG-2000,5,1,INE523B01011,5,AKSHOPTFBR.NS
AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,06-AUG-2024,2,1,INE09XN01023,2,AKUMS.NS
AKZOINDIA,Akzo Nobel India Limited,EQ,28-JUN-2001,10,1,INE133A01011,10,AKZOINDIA.NS
ALANKIT,Alankit Limited,EQ,30-JUN-2015,1,1,INE914E01040,1,ALANKIT.NS
ALBERTDAVD,Albert David Limited,EQ,14-JUN-2016,10,1,INE155C01010,10,ALBERTDAVD.NS
ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,2,1,INE426A01027,2,ALEMBICLTD.NS
ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006,5,1,INE062D01024,5,ALICON.NS
ALIVUS,Alivus Life Sciences Limited,EQ,06-AUG-2021,2,1,INE03Q201024,2,ALIVUS.NS
ALKALI,Alkali Metals Limited,EQ,06-NOV-2008,10,1,INE773I01017,10,ALKALI.NS
ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2,1,INE540L01014,2,ALKEM.NS
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,2,1,INE150B01039,2,ALKYLAMINE.NS
ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,2,1,INE418H01029,2,ALLCARGO.NS
ALLDIGI,Alldigi Tech Limited,EQ,09-MAY-2005,10,1,INE835G01018,10,ALLDIGI.NS
ALLTIME,All Time Plastics Limited,EQ,14-AUG-2025,2,1,INE0GV601021,2,ALLTIME.NS
ALMONDZ,Almondz Global Securities Limited,EQ,16-JUN-2008,1,1,INE326B01035,1,ALMONDZ.NS
ALOKINDS,Alok Industries Limited,EQ,19-FEB-2020,1,1,INE270A01029,1,ALOKINDS.NS
ALPA,Alpa Laboratories Limited,EQ,06-AUG-2007,10,1,INE385I01010,10,ALPA.NS
ALPHAGEO,Alphageo (India) Limited,EQ,11-MAY-2007,10,1,INE137C01018,10,ALPHAGEO.NS
ALPSINDUS,Alps Industries Limited,EQ,24-APR-1996,10,1,INE093B01015,10,ALPSINDUS.NS
AMANTA,Amanta Healthcare Limited,EQ,09-SEP-2025,10,1,INE084K01015,10,AMANTA.NS
AMBER,Amber Enterprises India Limited,EQ,30-JAN-2018,10,1,INE371P01015,10,AMBER.NS
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-JUN-2004,10,1,INE792B01012,10,AMBICAAGAR.NS
AMBIKCO,Ambika Cotton Mills Limited,EQ,29-JAN-2008,10,1,INE540G01014,10,AMBIKCO.NS
AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998,2,1,INE079A01024,2,AMBUJACEM.NS
AMDIND,AMD Industries Limited,EQ,19-MAR-2007,10,1,INE005I01014,10,AMDIND.NS
AMJLAND,Amj Land Holdings Limited,EQ,08-FEB-1995,2,1,INE606A01024,2,AMJLAND.NS
AMNPLST,Amines & Plasticizers Limited,EQ,10-NOV-2023,2,1,INE275D01022,2,AMNPLST.NS
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-JAN-2015,1,1,INE098F01031,1,AMRUTANJAN.NS
ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-DEC-2021,5,1,INE463V01026,5,ANANDRATHI.NS
ANANTRAJ,Anant Raj Limited,EQ,27-SEP-2006,2,1,INE242C01024,2,ANANTRAJ.NS
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-MAY-2004,2,1,INE435A01051,2,ANDHRAPAP.NS
ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-NOV-1995,2,1,INE715B01021,2,ANDHRSUGAR.NS
ANGELONE,Angel One Limited,EQ,05-OCT-2020,10,1,INE732I01013,10,ANGELONE.NS
ANIKINDS,Anik Industries Limited,EQ,21-MAY-2008,10,1,INE087B01017,10,ANIKINDS.NS
ANKITMETAL,Ankit Metal & Power Limited,BZ,14-MAR-2013,10,1,INE106I01010,10,ANKITMETAL.NS
ANMOL,Anmol India Limited,EQ,04-JUN-2021,10,1,INE02AR01019,10,ANMOL.NS
ANSALAPI,Ansal Properties & Infrastructure Limited,BZ,27-JAN-2006,5,1,INE436A01026,5,ANSALAPI.NS
ANTELOPUS,Antelopus Selan Energy Limited,EQ,26-SEP-2006,10,1,INE818A01017,10,ANTELOPUS.NS
ANTGRAPHIC,Antarctica Limited,EQ,31-DEC-1997,1,1,INE414B01021,1,ANTGRAPHIC.NS
ANTHEM,Anthem Biosciences Limited,EQ,21-JUL-2025,2,1,INE0CZ201020,2,ANTHEM.NS
ANUHPHR,Anuh Pharma Limited,EQ,20-DEC-2024,5,1,INE489G01022,5,ANUHPHR.NS
ANUP,The Anup Engineering Limited,EQ,01-MAR-2019,10,1,INE294Z01018,10,ANUP.NS
ANURAS,Anupam Rasayan India Limited,EQ,24-MAR-2021,10,1,INE930P01018,10,ANURAS.NS
APARINDS,Apar Industries Limited,EQ,12-JUL-2004,10,1,INE372A01015,10,APARINDS.NS
APCL,Anjani Portland Cement Limited,EQ,10-APR-2017,10,1,INE071F01012,10,APCL.NS
APCOTEXIND,Apcotex Industries Limited,EQ,06-SEP-1995,2,1,INE116A01032,2,APCOTEXIND.NS
APEX,Apex Frozen Foods Limited,EQ,04-SEP-2017,10,1,INE346W01013,10,APEX.NS
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-DEC-2011,2,1,INE702C01027,2,APLAPOLLO.NS
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-SEP-2011,2,1,INE901L01018,2,APLLTD.NS
APOLLO,Apollo Micro Systems Limited,EQ,22-JAN-2018,1,1,INE713T01028,1,APOLLO.NS
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996,5,1,INE437A01024,5,APOLLOHOSP.NS
APOLLOPIPE,Apollo Pipes Limited,EQ,11-NOV-2019,10,1,INE126J01016,10,APOLLOPIPE.NS
APOLLOTYRE,Apollo Tyres Limited,EQ,31-MAY-1995,1,1,INE438A01022,1,APOLLOTYRE.NS
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-JAN-2015,5,1,INE451F01024,5,APOLSINHOT.NS
APTECHT,Aptech Limited,EQ,27-SEP-2002,10,1,INE266F01018,10,APTECHT.NS
APTUS,Aptus Value Housing Finance India Limited,EQ,24-AUG-2021,2,1,INE852O01025,2,APTUS.NS
ARCHIDPLY,Archidply Industries Limited,EQ,04-JUL-2008,10,1,INE877I01016,10,ARCHIDPLY.NS
ARCHIES,Archies Limited,EQ,02-SEP-1998,2,1,INE731A01020,2,ARCHIES.NS
ARE&M,Amara Raja Energy & Mobility Limited,EQ,05-SEP-2003,1,1,INE885A01032,1,ARE&M.NS
ARENTERP,Rajdarshan Industries Limited,EQ,18-OCT-1995,10,1,INE610C01014,10,ARENTERP.NS
ARFIN,Arfin India Limited,BE,22-JUL-2025,1,1,INE784R01023,1,ARFIN.NS
ARIES,Aries Agro Limited,EQ,11-JAN-2008,10,1,INE298I01015,10,ARIES.NS
ARIHANTCAP,Arihant Capital Markets Limited,EQ,15-JUN-2021,1,1,INE420B01036,1,ARIHANTCAP.NS
ARIHANTSUP,Arihant Superstructures Limited,EQ,28-MAR-2017,10,1,INE643K01018,10,ARIHANTSUP.NS
ARISINFRA,Arisinfra Solutions Limited,EQ,25-JUN-2025,2,1,INE0H9P01028,2,ARISINFRA.NS
ARKADE,Arkade Developers Limited,EQ,24-SEP-2024,10,1,INE0QRL01017,10,ARKADE.NS
ARMANFIN,Arman Financial Services Limited,EQ,14-JUN-2016,10,1,INE109C01017,10,ARMANFIN.NS
AROGRANITE,Aro Granite Industries Limited,EQ,24-APR-2007,10,1,INE210C01013,10,AROGRANITE.NS
ARROWGREEN,Arrow Greentech Limited,EQ,21-MAY-2015,10,1,INE570D01018,10,ARROWGREEN.NS
ARSHIYA,Arshiya Limited,BZ,14-DEC-2009,2,1,INE968D01022,2,ARSHIYA.NS
ARSSBL,Anand Rathi Share and Stock Brokers Limited,EQ,30-SEP-2025,5,1,INE549H01021,5,ARSSBL.NS
ARTEMISMED,Artemis Medicare Services Limited,EQ,23-JAN-2020,1,1,INE025R01021,1,ARTEMISMED.NS
ARTNIRMAN,Art Nirman Limited,EQ,18-OCT-2021,10,1,INE738V01013,10,ARTNIRMAN.NS
ARVEE,Arvee Laboratories (India) Limited,EQ,22-MAR-2021,10,1,INE006Z01016,10,ARVEE.NS
ARVIND,Arvind Limited,EQ,08-FEB-1995,10,1,INE034A01011,10,ARVIND.NS
ARVINDFASN,Arvind Fashions Limited,EQ,08-MAR-2019,4,1,INE955V01021,4,ARVINDFASN.NS
ARVSMART,Arvind SmartSpaces Limited,EQ,26-AUG-2015,10,1,INE034S01021,10,ARVSMART.NS
ASAHIINDIA,Asahi India Glass Limited,EQ,18-MAR-1998,1,1,INE439A01020,1,ASAHIINDIA.NS
ASAHISONG,Asahi Songwon Colors Limited,EQ,29-AUG-2011,10,1,INE228I01012,10,ASAHISONG.NS
ASAL,Automotive Stampings and Assemblies Limited,EQ,12-MAR-2002,10,1,INE900C01027,10,ASAL.NS
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-FEB-2020,10,1,INE073G01016,10,ASALCBR.NS
ASHAPURMIN,Ashapura Minechem Limited,EQ,20-SEP-1995,2,1,INE348A01023,2,ASHAPURMIN.NS
ASHIANA,Ashiana Housing Limited,EQ,29-JUN-2011,2,1,INE365D01021,2,ASHIANA.NS
ASHIMASYN,Ashima Limited,EQ,27-JUL-1995,10,1,INE440A01010,10,ASHIMASYN.NS
ASHOKA,Ashoka Buildcon Limited,EQ,14-OCT-2010,5,1,INE442H01029,5,ASHOKA.NS
ASHOKAMET,Ashoka Metcast Limited,EQ,27-JUN-2023,10,1,INE760Y01011,10,ASHOKAMET.NS
ASHOKLEY,Ashok Leyland Limited,EQ,25-MAY-1995,1,1,INE208A01029,1,ASHOKLEY.NS
ASIANENE,Asian Energy Services Limited,EQ,09-DEC-2021,10,1,INE276G01015,10,ASIANENE.NS
ASIANHOTNR,Asian Hotels (North) Limited,EQ,07-APR-2010,10,1,INE363A01022,10,ASIANHOTNR.NS
ASIANPAINT,Asian Paints Limited,EQ,31-MAY-1995,1,1,INE021A01026,1,ASIANPAINT.NS
ASIANTILES,Asian Granito India Limited,EQ,23-AUG-2007,10,1,INE022I01019,10,ASIANTILES.NS
ASKAUTOLTD,ASK Automotive Limited,EQ,15-NOV-2023,2,1,INE491J01022,2,ASKAUTOLTD.NS
ASMS,Bartronics India Limited,EQ,09-FEB-2023,1,1,INE855F01042,1,ASMS.NS
ASPINWALL,Aspinwall and Company Limited,EQ,14-JUN-2016,10,1,INE991I01015,10,ASPINWALL.NS
ASTEC,Astec LifeSciences Limited,EQ,25-NOV-2009,10,1,INE563J01010,10,ASTEC.NS
ASTERDM,Aster DM Healthcare Limited,EQ,26-FEB-2018,10,1,INE914M01019,10,ASTERDM.NS
ASTRAL,Astral Limited,EQ,20-MAR-2007,1,1,INE006I01046,1,ASTRAL.NS
ASTRAMICRO,Astra Microwave Products Limited,EQ,01-NOV-2004,2,1,INE386C01029,2,ASTRAMICRO.NS
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-MAY-2001,2,1,INE203A01020,2,ASTRAZEN.NS
ASTRON,Astron Paper & Board Mill Limited,EQ,29-DEC-2017,10,1,INE646X01014,10,ASTRON.NS
ATALREAL,Atal Realtech Limited,EQ,12-MAY-2023,2,1,INE0ALR01029,2,ATALREAL.NS
ATAM,Atam Valves Limited,EQ,10-MAY-2023,10,1,INE09KD01013,10,ATAM.NS
ATGL,Adani Total Gas Limited,EQ,05-NOV-2018,1,1,INE399L01023,1,ATGL.NS
ATHERENERG,Ather Energy Limited,EQ,06-MAY-2025,1,1,INE0LEZ01016,1,ATHERENERG.NS
ATL,Allcargo Terminals Limited,EQ,10-AUG-2023,2,1,INE0NN701020,2,ATL.NS
ATLANTAA,ATLANTAA LIMITED,BE,25-SEP-2006,2,1,INE285H01022,2,ATLANTAA.NS
ATLANTAELE,Atlanta Electricals Limited,EQ,29-SEP-2025,2,1,INE0Z4F01028,2,ATLANTAELE.NS
ATLASCYCLE,Atlas Cycles (Haryana) Limited,EQ,23-OCT-1996,5,1,INE446A01025,5,ATLASCYCLE.NS
ATUL,Atul Limited,EQ,06-MAY-1998,10,1,INE100A01010,10,ATUL.NS
ATULAUTO,Atul Auto Limited,EQ,26-JUN-2013,5,1,INE951D01028,5,ATULAUTO.NS
AUBANK,AU Small Finance Bank Limited,EQ,10-JUL-2017,10,1,INE949L01017,10,AUBANK.NS
AURIGROW,Auri Grow India Limited,EQ,24-DEC-2020,1,1,INE925Y01036,1,AURIGROW.NS
AURIONPRO,Aurionpro Solutions Limited,EQ,25-OCT-2005,10,1,INE132H01018,10,AURIONPRO.NS
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-JUL-2000,1,1,INE406A01037,1,AUROPHARMA.NS
AURUM,Aurum PropTech Limited,EQ,19-AUG-2015,5,1,INE898S01029,5,AURUM.NS
AUSOMENT,Ausom Enterprise Limited,EQ,17-APR-1996,10,1,INE218C01016,10,AUSOMENT.NS
AUTOAXLES,Automotive Axles Limited,EQ,29-MAY-2003,10,1,INE449A01011,10,AUTOAXLES.NS
AUTOIND,Autoline Industries Limited,EQ,31-JAN-2007,10,1,INE718H01014,10,AUTOIND.NS
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-JUL-2017,10,1,INE349W01017,10,AVADHSUGAR.NS
AVALON,Avalon Technologies Limited,EQ,18-APR-2023,2,1,INE0LCL01028,2,AVALON.NS
AVANTEL,Avantel Limited,EQ,31-JUL-2024,2,1,INE005B01027,2,AVANTEL.NS
AVANTIFEED,Avanti Feeds Limited,EQ,15-APR-2015,1,1,INE871C01038,1,AVANTIFEED.NS
AVG,AVG Logistics Limited,EQ,12-MAY-2023,10,1,INE680Z01018,10,AVG.NS
AVL,Aditya Vision Limited,EQ,06-NOV-2024,1,1,INE679V01027,1,AVL.NS
AVONMORE,Avonmore Capital & Management Services Limited,EQ,04-JAN-2023,1,1,INE323B01024,1,AVONMORE.NS
AVROIND,AVRO INDIA LIMITED,EQ,07-APR-2022,10,1,INE652Z01017,10,AVROIND.NS
AVTNPL,AVT Natural Products Limited,EQ,10-JAN-2007,1,1,INE488D01021,1,AVTNPL.NS
AWFIS,Awfis Space Solutions Limited,EQ,30-MAY-2024,10,1,INE108V01019,10,AWFIS.NS
AWHCL,Antony Waste Handling Cell Limited,EQ,01-JAN-2021,5,1,INE01BK01022,5,AWHCL.NS
AWL,AWL Agri Business Limited,EQ,08-FEB-2022,1,1,INE699H01024,1,AWL.NS
AXISBANK,Axis Bank Limited,EQ,16-NOV-1998,2,1,INE238A01034,2,AXISBANK.NS
AXISCADES,AXISCADES Technologies Limited,BE,21-DEC-2000,5,1,INE555B01013,5,AXISCADES.NS
AXITA,Axita Cotton Limited,EQ,21-JUN-2022,1,1,INE02EZ01022,1,AXITA.NS
AYMSYNTEX,AYM Syntex Limited,EQ,14-AUG-2015,10,1,INE193B01039,10,AYMSYNTEX.NS
AZAD,Azad Engineering Limited,EQ,28-DEC-2023,2,1,INE02IJ01035,2,AZAD.NS
BAFNAPH,Bafna Pharmaceuticals Limited,BE,27-FEB-2020,10,1,INE878I01022,10,BAFNAPH.NS
BAGFILMS,B.A.G Films and Media Limited,EQ,17-OCT-2003,2,1,INE116D01028,2,BAGFILMS.NS
BAIDFIN,Baid Finserv Limited,EQ,20-JAN-2023,2,1,INE020D01022,2,BAIDFIN.NS
BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-MAY-2008,10,1,INE917I01010,10,BAJAJ-AUTO.NS
BAJAJCON,Bajaj Consumer Care Limited,EQ,18-AUG-2010,1,1,INE933K01021,1,BAJAJCON.NS
BAJAJELEC,Bajaj Electricals Limited,EQ,02-NOV-2007,2,1,INE193E01025,2,BAJAJELEC.NS
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-MAY-2008,1,1,INE918I01026,1,BAJAJFINSV.NS
BAJAJHCARE,Bajaj Healthcare Limited,EQ,25-NOV-2021,5,1,INE411U01027,5,BAJAJHCARE.NS
BAJAJHFL,Bajaj Housing Finance Limited,EQ,16-SEP-2024,10,1,INE377Y01014,10,BAJAJHFL.NS
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-MAY-1995,1,1,INE306A01021,1,BAJAJHIND.NS
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-MAR-1995,10,1,INE118A01012,10,BAJAJHLDNG.NS
BAJAJINDEF,Indef Manufacturing Limited,EQ,21-FEB-2025,1,1,INE0O9T01021,1,BAJAJINDEF.NS
BAJEL,Bajel Projects Limited,EQ,19-DEC-2023,2,1,INE0KQN01018,2,BAJEL.NS
BAJFINANCE,Bajaj Finance Limited,EQ,01-APR-2003,1,1,INE296A01032,1,BAJFINANCE.NS
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,EQ,12-SEP-2024,10,1,INE0S2G01011,10,BALAJEE.NS
BALAJITELE,Balaji Telefilms Limited,EQ,22-NOV-2000,2,1,INE794B01026,2,BALAJITELE.NS
